,10BT2_43,10BT3_67,10BT4_18,10BT5_20,10BT6_100,10NBT0_22,10NBT2_90,10NBT3_121,10NBT4_70,10NBT5_41,10NBT6_128,13BT2_71,13BT3_33,13BT4_113,13BT5_126,13BT6_45,13NBT0_112,13NBT2_101,13NBT3_27,13NBT4_38,13NBT5_23,13NBT6_51,20NBT0_73,20NBT2_123,21BT2_40,21BT3_118,21BT5_89,21BT6_25,21NBT0_35,21NBT2_26,21NBT3_50,21NBT5_72,21NBT6_16,25NBT0_102,25NBT0_32,26BT2_127,26BT3_77,26BT4_44,26BT5_115,26BT6_80,26NBT0_81,26NBT2_49,26NBT3_104,26NBT4_105,26NBT5_130,26NBT6_103,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66BT3_15,66BT4_63,66BT5_34,66BT6_74,66NBT0_129,66NBT2_119,66NBT3_37,66NBT4_95,66NBT5_78,66NBT5_94,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74BT3_111,74BT3_97,74BT4_87,74BT5_52,74NBT0_64,74NBT2_42,74NBT4_28,74NBT5_114,74NBT6_36
augustus.g24314.t1,0,6.1315,0,0,0,0,0,0,0,0,0,5.5432,4.9949,0,0,0,0,0,5.4144,0,0,0,0,0,0,0,0,4.727,0,0,0,0,0,0,0,0,0,0,0,0,5.3949,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666,6.5584,5.5767,0,0,0,5.1964,0,0,0,0,0,0,0,6.074,0,0,0,0,0,0,0,0,0
augustus.g24360.t1,0,0.8879,0,0,0,0,0,0.9073,0,0,0,0,0.7233,0,0.7732,0,0,0.7601,0,0,0.8232,0.761,0.8683,0.8564,0,0.8347,0,0,0,0,0,0.7017,0,0,0,0,0.7912,0,0,0.6847,0,0.954,0,0,0,0,0.8014,0,0,0,0,0,0,0,0,0.9497,0,0,0.6653,0,1.505,0.7259,1.4376,1.5052,1.6033,0,0.8967,0,0,0,0,0,0,1.2573,0.8276,0,0,0
augustus.g24365.t1,103.766,68.7521,21.8661,63.3239,46.3312,51.0792,80.5311,61.4713,65.5309,56.6926,112.3377,54.3858,49.0066,41.0064,104.7647,57.6821,56.9255,102.9892,45.533,52.9324,71.7047,58.9232,184.8797,190.6361,88.4824,56.5527,68.2518,39.7527,82.3546,65.9463,90.1684,74.7121,87.841,95.5406,104.3907,129.3669,76.5784,82.9933,80.9892,79.5186,75.6147,55.3989,35.3328,80.9753,84.281,57.3907,38.7825,32.3292,81.458,141.8612,112.2134,59.7383,101.4944,100.431,89.9358,64.3463,62.5307,51.6223,96.5879,80.4597,58.2665,42.1529,69.5704,116.551,116.3826,109.4599,138.8644,80.0919,93.647,62.4216,50.1186,72.7538,88.9974,133.8556,104.1283,33.655,52.6048,68.9255
augustus.g24366.t1,0,0,0,0,0,0,0,0,0,0,3.4627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.931,6.8922,0,0,0,0,0,2.9125,0,0,0,0,0,2.7978,0,3.3473,0,3.9058,9.4183,0,0,0,0,7.0566,3.9669,3.3731,0,0,0,0,0,0,0,3.3483,0,0,0,7.3478,0,3.6047,0,0,0,0,0,0,0
augustus.g24410.t1,5.1624,0,0,5.8507,9.9883,0,0,0,0,0,0,0,0,0,4.8398,12.4354,5.2595,0,0,0,0,0,0,0,0,0,0,8.5701,0,0,0,8.7855,0,0,0,0,0,0,4.365,8.5715,0,0,4.5703,4.761,0,0,0,0,0,0,0,0,0,0,0,0,5.0552,4.1734,0,0,0,0,0,0,0,4.7196,0,0,11.0121,0,0,0,0,0,0,0,0,4.4578
augustus.g24411.t1,0,0,0,0,3.3614,0,0,0,0,0,0,3.3821,9.1428,32.7262,0,5.58,0,0,19.8212,3.2918,3.4682,3.2063,0,0,3.5016,31.652,6.6024,2.8842,0,0,3.271,26.6099,10.4287,0,0,0,10.0007,15.0534,14.6899,11.5385,3.2916,0,21.5332,19.2271,5.6444,9.3686,10.1295,0,0,4.7503,0,0,0,0,14.2365,16.0062,20.4154,11.236,2.8031,0,0,6.1166,18.171,22.1972,23.6428,6.3533,3.7781,10.4596,0,19.4093,14.5449,21.1139,6.457,0,10.4604,14.6505,13.0855,18.0026
augustus.g24463.t1,12.6058,27.1447,11.5109,9.5244,8.13,17.9263,14.1312,23.1144,24.6409,29.8445,16.8965,8.18,14.742,17.9891,11.8181,20.2436,4.281,15.4904,11.9849,7.9614,16.7766,19.3867,17.6956,13.0899,16.938,21.2649,15.9687,13.9513,15.765,8.679,19.7779,39.3305,37.8342,20.1181,4.9958,0,8.0626,18.2041,17.7645,3.4884,7.9611,9.7212,14.8801,7.7505,17.0645,15.106,12.2497,17.0189,9.5293,0,4.2194,10.4826,8.2199,4.4058,25.8243,24.1955,16.4589,20.3815,6.7795,8.4712,7.6683,14.7936,25.6366,23.0084,28.5912,15.366,0,8.4325,8.9633,18.7774,17.5892,21.2775,7.8084,0,12.6498,17.7169,19.7804,18.1421
augustus.g24464.t1,0,0,0,6.4914,0,30.5445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5962,5.6088,13.8911,0,17.3209,0,10.0827,0,10.4543,11.1352,0,0,0,0,0,0,0,0,0,0,0,0,0
augustus.g24466.t1,27.6044,0,25.2067,31.285,13.3524,14.7208,15.4724,15.1849,16.1877,24.5077,13.875,40.3038,24.2116,11.8178,64.6985,0,28.1239,12.7204,26.2447,13.0756,0,12.736,14.5313,14.3322,27.8183,13.9699,26.2264,34.3695,38.8377,28.508,25.986,0,27.6167,16.5206,32.8198,0,13.2417,11.9591,0,11.4584,13.075,15.9657,0,12.7291,11.2105,0,0,27.9513,0,18.8694,13.8597,17.2162,13.5001,0,42.4129,31.7902,27.0315,33.4738,33.4033,69.5641,25.1881,24.2965,36.0896,37.788,53.6653,37.8549,0,27.6985,14.721,30.8393,0,0,25.6485,42.0834,13.8504,11.639,25.9893,11.9184
augustus.g24517.t1,59.6256,128.3945,36.2977,45.0505,38.4549,0,44.5605,43.7324,93.2411,35.2911,119.8804,58.0374,69.7294,51.0529,130.4321,79.7936,40.4984,91.5869,56.6886,56.4865,79.3532,110.0391,83.7001,185.7459,60.0876,80.4664,113.2979,65.9894,93.2105,61.5774,56.1298,118.3847,99.42,47.5792,47.2605,53.6873,57.2041,68.8845,67.221,66.0004,56.4842,45.9811,105.5744,73.3194,129.1444,89.3143,77.2547,80.4996,67.6102,54.3437,39.9159,74.3741,77.7603,62.5183,81.4327,91.5556,97.3134,48.2023,80.168,0,90.6772,52.4804,51.9691,90.6913,77.2781,72.6813,21.6108,59.8287,84.7931,44.4085,62.3977,100.6427,110.8017,0,79.7783,83.8008,93.5615,85.8122
