Sample,Treatment,Time,Stage,area,feret,feret_bin,NewStage
M62,Bleached,T5,I,100.44246,17.57901,1,1
M62,Bleached,T5,I,247.667,21.035,1,1
M15,Bleached,T5,I,262.304,22.394,1,1
M15,Bleached,T5,I,480.724,29.27,2,1
M15,Bleached,T5,I,330.184,29.548,2,1
M48,Bleached,T5,I,522.37857,30.85869,2,1
M62,Bleached,T5,I,438.895,30.906,2,1
M62,Bleached,T5,I,432.76254,31.14585,2,1
M14,Bleached,T5,I,574.484,32.043,2,1
M8,Bleached,T5,I,443.489,34.269,2,1
M62,Bleached,T5,I,656.79019,34.7368,2,1
M14,Bleached,T5,I,764.828,36.543,2,1
M62,Bleached,T5,I,690.642,37.646,2,1
M14,Bleached,T5,I,814.73939,38.13823,2,1
M8,Bleached,T5,I,975.259,38.149,2,1
M62,Bleached,T5,I,702.397,38.759,2,1
M15,Bleached,T5,I,740.618,40.5,2,1
M62,Bleached,T5,I,544.07259,40.69426,2,1
M62,Bleached,T5,I,1067.192,42.314,2,1
M48,Bleached,T5,I,754.98509,42.34374,2,1
M8,Bleached,T5,I,815.16,43.432,2,1
M62,Bleached,T5,I,1042.654,43.669,2,1
M15,Bleached,T5,I,1223.181,44.424,2,1
M24,Bleached,T5,I,832.12245,44.79663,2,1
M62,Bleached,T5,I,1075.28432,44.87222,2,1
M15,Bleached,T5,I,905.743,45.159,2,1
M15,Bleached,T5,I,1117.115,45.888,2,1
M14,Bleached,T5,I,1343.5953,46.43822,2,1
M62,Bleached,T5,I,1282.531,46.72,2,1
M62,Bleached,T5,I,1041.64609,48.12956,2,1
M15,Bleached,T5,I,1286.8751,48.18585,2,1
M15,Bleached,T5,I,792.71324,48.39854,2,1
M62,Bleached,T5,I,1011.60526,48.65606,2,1
M48,Bleached,T5,I,1526.63651,49.23478,2,1
M14,Bleached,T5,I,1688.7,49.504,2,1
M14,Bleached,T5,I,1004.933,49.532,2,1
M62,Bleached,T5,I,1611.659,49.832,2,1
M62,Bleached,T5,I,1469.108,50.107,3,1
M15,Bleached,T5,I,1667.127,50.505,3,1
M48,Bleached,T5,I,1503.30364,51.82317,3,1
M15,Bleached,T5,I,1730.93603,54.1373,3,1
M14,Bleached,T5,I,1867.08732,55.32483,3,1
M14,Bleached,T5,I,1605.353,55.62,3,1
M8,Bleached,T5,I,1937.735,56.16,3,1
M15,Bleached,T5,I,1610.575,56.299,3,1
M14,Bleached,T5,I,2238.79291,57.2719,3,1
M62,Bleached,T5,I,1544.34142,58.09789,3,1
M14,Bleached,T5,I,1855.702,58.547,3,1
M62,Bleached,T5,I,1864.23419,58.62587,3,1
M15,Bleached,T5,I,1861.207,58.724,3,1
M62,Bleached,T5,I,1398.185,59.965,3,1
M14,Bleached,T5,I,2148.466,61.004,3,1
M15,Bleached,T5,I,1538.123,61.133,3,1
M14,Bleached,T5,I,1905.464,61.233,3,1
M62,Bleached,T5,I,1972.659,61.241,3,1
M14,Bleached,T5,I,2291.51873,61.26178,3,1
M14,Bleached,T5,I,1883.029,61.791,3,1
M14,Bleached,T5,I,1333.89466,62.03099,3,1
M15,Bleached,T5,I,1621.283,62.733,3,1
M62,Bleached,T5,I,1250.648,63.844,3,1
M62,Bleached,T5,I,2374.60183,63.94164,3,1
M15,Bleached,T5,I,2117.308,64.053,3,1
M15,Bleached,T5,I,1330.01441,64.47398,3,1
M15,Bleached,T5,I,2079.745,65.867,3,1
M14,Bleached,T5,I,2739.375,66.796,3,1
M14,Bleached,T5,I,2281.13334,68.8001,3,1
M14,Bleached,T5,I,2370.94983,70.46934,3,1
M62,Bleached,T5,I,3149.28329,70.475,3,1
M62,Bleached,T5,I,2719.425,71.567,3,1
M14,Bleached,T5,I,2330.14,71.901,3,1
M62,Bleached,T5,I,2715.3795,73.74322,3,1
M15,Bleached,T5,I,2661.05594,74.20836,3,1
M15,Bleached,T5,I,3127.94189,75.24004,4,1
M15,Bleached,T5,I,3110.217,75.877,4,1
M15,Bleached,T5,I,3805.04636,76.20761,4,1
M12,Bleached,T5,I,3164.46194,76.42445,4,1
M15,Bleached,T5,I,2776.395,76.508,4,1
M15,Bleached,T5,I,3907.07424,77.35582,4,1
M15,Bleached,T5,I,2479.36871,77.41997,4,1
M62,Bleached,T5,I,3292.7386,78.23091,4,1
M14,Bleached,T5,I,4321.326,78.54,4,1
M62,Bleached,T5,I,3045.77179,78.90707,4,1
M14,Bleached,T5,I,3698.1111,79.33115,4,1
M62,Bleached,T5,I,2223.38602,80.68553,4,1
M14,Bleached,T5,I,1959.18631,81.55287,4,1
M14,Bleached,T5,I,3241.49641,82.21906,4,1
M62,Bleached,T5,I,2863.62806,82.86269,4,1
M14,Bleached,T5,I,2793.21285,83.24606,4,1
M8,Bleached,T5,I,4785.302,83.311,4,1
M14,Bleached,T5,I,3747.07079,83.4364,4,1
M62,Bleached,T5,I,3132.0504,84.28018,4,1
M15,Bleached,T5,I,4579.6137,84.59645,4,1
M15,Bleached,T5,I,3815.43175,84.70161,4,1
M15,Bleached,T5,I,4018.91688,84.76424,4,1
M62,Bleached,T5,I,2866.25294,84.98812,4,1
M62,Bleached,T5,I,3824.10526,85.81797,4,1
M14,Bleached,T5,I,3085.60146,85.94355,4,1
M15,Bleached,T5,I,2495.68861,86.26166,4,1
M15,Bleached,T5,I,3814.06225,87.51666,4,1
M62,Bleached,T5,I,2898.77861,88.02766,4,1
M62,Bleached,T5,I,2717.54788,88.58017,4,1
M62,Bleached,T5,I,3542.44441,90.12816,4,1
M15,Bleached,T5,I,2350.8638,94.13723,4,1
M48,Bleached,T5,I,3853.97943,95.38148,4,1
M62,Bleached,T5,I,3769.66757,101.64633,5,1
M8,Bleached,T5,I,5177.888,106.975,5,1
M15,Bleached,T5,I,6895.09871,110.03321,5,1
M62,Bleached,T5,I,5255.57692,119.85951,5,1
M62,Bleached,T5,I,8984.61593,154.87311,7,1
M14,Bleached,T5,II,863.295,46.614,2,2
M15,Bleached,T5,II,718.633,47.144,2,2
M62,Bleached,T5,II,967.412,51.141,3,2
M62,Bleached,T5,II,1434.212,53.902,3,2
M15,Bleached,T5,II,1553.167,61.558,3,2
M15,Bleached,T5,II,2145.826,66.599,3,2
M62,Bleached,T5,II,2694.659,69.453,3,2
M14,Bleached,T5,II,3324.639,73.686,3,2
M15,Bleached,T5,II,3279.043,74.202,3,2
M62,Bleached,T5,II,3530.476,82.621,4,2
M62,Bleached,T5,II,2269.602,83.664,4,2
M62,Bleached,T5,II,2255.307,83.855,4,2
M62,Bleached,T5,II,3133.568,87.295,4,2
M15,Bleached,T5,II,2871.535,90.126,4,2
M62,Bleached,T5,II,2682.789,93.546,4,2
M14,Bleached,T5,II,5189.538,95.566,4,2
M62,Bleached,T5,II,4813.45612,97.60545,4,2
M15,Bleached,T5,II,5523.052,101.731,5,2
M62,Bleached,T5,II,3524.75501,102.83402,5,2
M15,Bleached,T5,II,7086.60069,103.32891,5,2
M14,Bleached,T5,II,3767.15681,103.67239,5,2
M62,Bleached,T5,II,6210.803,107.171,5,2
M62,Bleached,T5,II,4191.9,109.2,5,2
M62,Bleached,T5,II,4915.59812,109.48838,5,2
M62,Bleached,T5,II,4637.47515,110.5573,5,2
M62,Bleached,T5,II,6130.57438,113.61393,5,2
M62,Bleached,T5,II,3546.43879,113.74193,5,2
M62,Bleached,T5,II,6101.577,114.369,5,2
M15,Bleached,T5,II,8482.802,114.916,5,2
M14,Bleached,T5,II,8399.8387,115.06123,5,2
M14,Bleached,T5,II,7241.92501,115.93079,5,2
M62,Bleached,T5,II,9335.09424,117.55357,5,2
M62,Bleached,T5,II,6204.41335,123.03664,5,2
M62,Bleached,T5,II,5615.86999,123.37567,5,2
M62,Bleached,T5,II,8329.65174,123.64778,5,2
M15,Bleached,T5,II,7280.899,124.88,5,2
M62,Bleached,T5,II,5921.72537,125.59245,6,2
M62,Bleached,T5,II,9439.066,125.893,6,2
M62,Bleached,T5,II,10928.731,127.408,6,2
M14,Bleached,T5,II,4617.84562,127.69797,6,2
M15,Bleached,T5,II,8825.52548,129.62061,6,2
M62,Bleached,T5,II,5950.0284,131.944,6,2
M62,Bleached,T5,II,10369.29628,133.84701,6,2
M24,Bleached,T5,II,11073.229,134.696,6,2
M15,Bleached,T5,II,10183.879,136.568,6,2
M15,Bleached,T5,II,12285.401,137.356,6,2
M62,Bleached,T5,II,7227.88762,138.80461,6,2
M14,Bleached,T5,II,12468.7,139.614,6,2
M15,Bleached,T5,II,13618.927,141.692,6,2
M7,Bleached,T5,II,11119.89734,147.94074,6,2
M15,Bleached,T5,II,14660.05924,150.31921,7,2
M62,Bleached,T5,II,8533.82162,150.43153,7,2
M24,Bleached,T5,II,11083.83379,152.1518,7,2
M62,Bleached,T5,II,6257.02504,153.00114,7,2
M15,Bleached,T5,II,14810.446,153.569,7,2
M15,Bleached,T5,II,12148.764,157.418,7,2
M62,Bleached,T5,II,13925.944,157.452,7,2
M15,Bleached,T5,II,11543.07336,157.79678,7,2
M14,Bleached,T5,II,18146.121,161.352,7,2
M24,Bleached,T5,II,13079.08365,161.67064,7,2
M24,Bleached,T5,II,11691.43605,162.33144,7,2
M7,Bleached,T5,II,14087.15103,166.10267,7,2
M62,Bleached,T5,II,16292.947,167.306,7,2
M62,Bleached,T5,II,14310.15156,168.18519,7,2
M15,Bleached,T5,II,19666.84335,170.65436,7,2
M62,Bleached,T5,II,16248.327,171.347,7,2
M24,Bleached,T5,II,16606.586,171.609,7,2
