,x
augustus.g24314.t1,1
augustus.g24360.t1,2
augustus.g24365.t1,3
augustus.g24366.t1,1
augustus.g24410.t1,1
augustus.g24411.t1,4
augustus.g24463.t1,4
augustus.g24464.t1,5
augustus.g24466.t1,4
augustus.g24517.t1,3
augustus.g246.t1,1
augustus.g24884.t1,3
augustus.g24972.t1,1
augustus.g24979.t1,4
augustus.g24981.t1,1
augustus.g24987.t1,3
augustus.g24999.t1,4
augustus.g25015.t1,3
augustus.g25018.t1,3
augustus.g25038.t1,4
augustus.g25043.t1,1
augustus.g25047.t1,6
augustus.g25062.t1,3
augustus.g25064.t1,1
augustus.g25068.t1,1
augustus.g25094.t1,7
augustus.g25116.t1,1
augustus.g25117.t1,3
augustus.g25121.t1,4
augustus.g25172.t1,3
augustus.g25181.t1,7
augustus.g2520.t1,8
augustus.g25227.t1,1
augustus.g25228.t1,4
augustus.g25230.t1,4
augustus.g25246.t1,4
augustus.g25250.t1,3
augustus.g25268.t1,4
augustus.g25275.t1,7
augustus.g25284.t1,8
augustus.g2532.t1,4
augustus.g25326.t1,1
augustus.g2536.t1,3
augustus.g2538.t1,1
augustus.g25381.t1,1
augustus.g25399.t1,1
augustus.g2540.t1,1
augustus.g25400.t1,1
augustus.g25411.t1,3
augustus.g25433.t1,1
augustus.g25435.t1,9
augustus.g25437.t1,4
augustus.g25488.t1,4
augustus.g25505.t1,1
augustus.g25542.t1,1
augustus.g25546.t1,1
augustus.g25593.t1,3
augustus.g25618.t1,1
augustus.g25626.t1,1
augustus.g25636.t1,4
augustus.g25673.t1,1
augustus.g25680.t1,3
augustus.g25685.t1,3
augustus.g25712.t1,4
augustus.g25713.t1,4
augustus.g25934.t1,7
augustus.g25938.t1,3
augustus.g25957.t1,10
augustus.g25958.t1,3
augustus.g25962.t1,1
augustus.g25966.t1,1
augustus.g25967.t1,4
augustus.g25969.t1,1
augustus.g25975.t1,7
augustus.g2599.t1,4
augustus.g25994.t1,4
augustus.g26217.t1,1
augustus.g26218.t1,1
augustus.g26240.t1,11
augustus.g26263.t1,1
augustus.g26275.t1,4
augustus.g26277.t1,1
augustus.g26279.t1,3
augustus.g26280.t1,3
augustus.g26334.t1,1
augustus.g2637.t1,1
augustus.g26387.t1,4
augustus.g26393.t1,1
augustus.g26398.t1,3
augustus.g26410.t1,4
augustus.g26427.t1,7
augustus.g26428.t1,4
augustus.g26477.t1,1
augustus.g26481.t1,1
augustus.g26519.t1,12
augustus.g26554.t1,3
augustus.g26558.t1,4
augustus.g26573.t1,1
augustus.g2660.t1,4
augustus.g26785.t1,9
augustus.g26802.t1,4
augustus.g26825.t1,4
augustus.g26835.t1,1
augustus.g26842.t1,12
augustus.g26852.t1,4
augustus.g26870.t1,3
augustus.g26875.t1,4
augustus.g27079.t1,1
augustus.g27081.t1,13
augustus.g27090.t1,4
augustus.g27145.t1,1
augustus.g27146.t1,3
augustus.g27155.t1,4
augustus.g27156.t1,3
augustus.g27166.t1,1
augustus.g27229.t1,14
augustus.g27230.t1,3
augustus.g27232.t1,1
augustus.g27247.t1,4
augustus.g27553.t1,1
augustus.g27561.t1,1
augustus.g27563.t1,3
augustus.g27565.t1,3
augustus.g27604.t1,1
augustus.g27610.t1,1
augustus.g27612.t1,3
augustus.g27618.t1,4
augustus.g27636.t1,4
augustus.g27643.t1,8
augustus.g27644.t1,9
augustus.g27646.t1,3
augustus.g27654.t1,1
augustus.g27732.t1,4
augustus.g27733.t1,1
augustus.g27734.t1,1
augustus.g27757.t1,1
augustus.g27772.t1,4
augustus.g27807.t1,3
augustus.g27815.t1,4
augustus.g27816.t1,3
augustus.g27864.t1,4
augustus.g27914.t1,1
augustus.g27920.t1,1
augustus.g27956.t1,4
augustus.g27957.t1,4
augustus.g28002.t1,1
augustus.g28004.t1,4
augustus.g28008.t1,4
augustus.g28011.t1,4
augustus.g28077.t1,1
augustus.g28080.t1,1
augustus.g28081.t1,4
augustus.g28082.t1,15
augustus.g28083.t1,11
augustus.g28102.t1,7
augustus.g28104.t1,3
augustus.g28121.t1,3
augustus.g28142.t1,1
augustus.g28160.t1,4
augustus.g2817.t1,3
augustus.g2820.t1,16
augustus.g28210.t1,3
augustus.g28212.t1,1
augustus.g28237.t1,1
augustus.g28243.t1,3
augustus.g28248.t1,7
augustus.g28256.t1,4
augustus.g28265.t1,4
augustus.g28268.t1,3
augustus.g28338.t1,7
augustus.g28456.t1,3
augustus.g28457.t1,3
augustus.g28486.t1,6
augustus.g28515.t1,8
augustus.g2853.t1,4
augustus.g28531.t1,13
augustus.g28539.t1,1
augustus.g2855.t1,1
augustus.g28554.t1,4
augustus.g28593.t1,4
augustus.g28632.t1,3
augustus.g28636.t1,14
augustus.g28664.t1,4
augustus.g28693.t1,9
augustus.g28728.t1,6
augustus.g28738.t1,3
augustus.g28747.t1,3
augustus.g28771.t1,11
augustus.g28774.t1,1
augustus.g28781.t1,1
augustus.g28784.t1,8
augustus.g28793.t1,3
augustus.g28804.t1,1
augustus.g28854.t1,3
augustus.g28870.t1,4
augustus.g28875.t1,4
augustus.g28882.t1,1
augustus.g28884.t1,8
augustus.g28888.t1,15
augustus.g28906.t1,3
augustus.g28910.t1,4
augustus.g28915.t1,4
augustus.g28932.t1,1
augustus.g28996.t1,4
augustus.g291.t1,5
augustus.g29170.t1,4
augustus.g29178.t1,7
augustus.g29195.t1,4
augustus.g29198.t1,1
augustus.g29203.t1,4
augustus.g29205.t1,4
augustus.g29207.t1,4
augustus.g29213.t1,4
augustus.g29218.t1,1
augustus.g29220.t1,7
augustus.g29267.t1,17
augustus.g29270.t1,1
augustus.g29284.t1,3
augustus.g29285.t1,1
augustus.g29290.t1,1
augustus.g29301.t1,4
augustus.g29308.t1,4
augustus.g29311.t1,15
augustus.g29322.t1,8
augustus.g29323.t1,1
augustus.g29325.t1,1
augustus.g29391.t1,4
augustus.g29409.t1,4
augustus.g29410.t1,4
augustus.g29445.t1,4
augustus.g29639.t1,4
augustus.g29641.t1,7
augustus.g29670.t1,1
augustus.g29689.t1,1
augustus.g29692.t1,4
augustus.g29747.t1,15
augustus.g29788.t1,4
augustus.g29795.t1,4
augustus.g29847.t1,4
augustus.g29850.t1,4
augustus.g29876.t1,4
augustus.g29890.t1,1
augustus.g29934.t1,1
augustus.g29951.t1,1
augustus.g29961.t1,1
augustus.g29962.t1,3
augustus.g29999.t1,3
augustus.g30002.t1,6
augustus.g30004.t1,3
augustus.g30032.t1,4
augustus.g30035.t1,4
augustus.g30051.t1,1
augustus.g30094.t1,1
augustus.g30095.t1,4
augustus.g30096.t1,1
augustus.g30168.t1,3
augustus.g30171.t1,3
augustus.g30190.t1,3
augustus.g30200.t1,1
augustus.g30206.t1,7
augustus.g30207.t1,7
augustus.g30379.t1,9
augustus.g30428.t1,1
augustus.g3046.t1,4
augustus.g30468.t1,3
augustus.g30577.t1,1
augustus.g30578.t1,4
augustus.g30581.t1,3
augustus.g30589.t1,4
augustus.g30590.t1,15
augustus.g30602.t1,1
augustus.g30623.t1,18
augustus.g30640.t1,1
augustus.g30648.t1,7
augustus.g30652.t1,9
augustus.g30655.t1,1
augustus.g30682.t1,1
augustus.g30720.t1,3
augustus.g30721.t1,1
augustus.g3077.t1,1
augustus.g3083.t1,3
augustus.g3098.t1,4
augustus.g31002.t1,7
augustus.g3102.t1,4
augustus.g31033.t1,4
augustus.g31110.t1,1
augustus.g31175.t1,2
augustus.g31183.t1,12
augustus.g31222.t1,3
augustus.g31223.t1,4
augustus.g31274.t1,3
augustus.g3130.t1,3
augustus.g31412.t1,3
augustus.g31413.t1,3
augustus.g31423.t1,12
augustus.g31430.t1,3
augustus.g31448.t1,1
augustus.g31461.t1,9
augustus.g31475.t1,12
augustus.g31487.t1,13
augustus.g31692.t1,1
augustus.g31697.t1,4
augustus.g31707.t1,1
augustus.g31708.t1,4
augustus.g31709.t1,4
augustus.g31710.t1,4
augustus.g31717.t1,4
