Colony,Status,Time,Date,Chl a ug/g,Chl c2 ug/g,Tolerance
5,na,0,9/1/17,1068.86,328.43,S
6,na,0,9/1/17,607.57,292.5,S
10,na,0,9/1/17,1113.18,377.09,R
13,na,0,9/1/17,765.1,244.92,R
20,na,0,9/1/17,816.69,267.82,S
21,na,0,9/1/17,758.53,245.35,R
23,na,0,9/1/17,491.62,198.63,S
25,na,0,9/1/17,515.28,340.48,S
26,na,0,9/1/17,911.32,320.01,R
28,na,0,9/1/17,1161.47,431.26,S
30,na,0,9/1/17,507.35,231.74,S
32,na,0,9/1/17,493.14,306.39,R
45,na,0,9/1/17,557.02,271.21,S
55,na,0,9/1/17,598.27,271.93,S
65,na,0,9/1/17,639.15,358.04,R
66,na,0,9/1/17,697.14,262.56,R
69,na,0,9/1/17,664.09,392.97,R
73,na,0,9/1/17,1103.05,343.89,S
74,na,0,9/1/17,1180.37,419.33,R
5,B,2,10/1/17,345.82,176.2,S
5,NB,2,10/1/17,1118.97,433.97,S
6,B,2,10/1/17,479.57,279.8,S
6,NB,2,10/1/17,1193.99,587.96,S
10,B,2,10/1/17,276.79,123.87,R
10,NB,2,10/1/17,1608.65,598.35,R
13,B,2,10/1/17,589.6,213.88,R
13,NB,2,10/1/17,1569.07,706.29,R
20,B,2,10/1/17,473.83,246.5,S
20,NB,2,10/1/17,653.15,363.91,S
21,B,2,10/1/17,223.56,181.78,R
21,NB,2,10/1/17,781.67,376.32,R
23,B,2,10/1/17,400.19,158.07,S
23,NB,2,10/1/17,850.96,392.36,S
25,B,2,10/1/17,265.31,91.18,S
25,NB,2,10/1/17,1401.5,755.43,S
26,B,2,10/1/17,117.25,135.37,R
26,NB,2,10/1/17,1058.91,384.32,R
28,B,2,10/1/17,93.37,49.43,S
28,NB,2,10/1/17,1244.39,464.78,S
30,B,2,10/1/17,268.81,164.54,S
30,NB,2,10/1/17,839.25,424,S
32,B,2,10/1/17,84.71,87.35,R
32,NB,2,10/1/17,1121.21,559.21,R
41,B,2,10/1/17,75.73,115.42,R
41,NB,2,10/1/17,931.13,515.27,R
45,B,2,10/1/17,230.57,96.58,S
45,NB,2,10/1/17,637.54,321.52,S
55,B,2,10/1/17,327.25,146.04,S
55,NB,2,10/1/17,973.93,499.91,S
65,B,2,10/1/17,135.43,136.23,R
65,NB,2,10/1/17,1147.85,602.73,R
66,B,2,10/1/17,532.93,284.59,R
66,NB,2,10/1/17,1068.88,487.82,R
