well_name,c_mean,c_sd,d_mean,d_sd,presence,cd_ratio,prop_d,prop_c,abundance,sd_warning,ct_warning,rep,C,D
T1 13,29.165,0.148492424,41,0,C,2.49E-05,2.49E-05,0.999975117,C>D,NA,d*,NA,99,1
T1 19,40.45,0,41,0,C,0.062092739,0.058462634,0.941537366,C>D,NA,cd*,NA,94,6
T1 21,30.325,0.077781746,28.965,0.148492424,CD,0.233350163,0.189200253,0.810799747,C>D,NA,NA,NA,81,19
T1 23,39.325,1.590990258,30.2,0.22627417,CD,50.7581781,0.980679382,0.019320618,D>C,c*,c*,NA,1,99
T1 25,38.43,2.856711396,28.875,0.06363961,CD,68.38312184,0.985587273,0.014412727,D>C,c*,c*,NA,1,99
T1 26,40.45,0,29.275,0.233345238,D,210.1926455,0.995264987,0.004735013,D>C,NA,c*,NA,0,100
T1 28,30.02,0.169705627,30.045,0.049497475,CD,0.089347327,0.082019137,0.917980863,C>D,NA,NA,NA,91,9
T1 3,40.45,0,28.585,0.176776695,D,339.1003308,0.997059691,0.002940309,D>C,NA,c*,NA,0,100
T1 30,34.14,0.593969696,27.975,0.007071068,CD,6.52314809,0.867076922,0.132923078,D>C,NA,NA,NA,13,87
T1 36,29.375,0.077781746,32.915,0.120208153,CD,0.007815579,0.007754969,0.992245031,C>D,NA,NA,NA,99,1
T1 37,40.45,0,28.705,0.190918831,D,312.0359367,0.996805479,0.003194521,D>C,NA,c*,NA,0,100
T1 40,28.74,0.014142136,32.295,0.261629509,CD,0.007734739,0.007675372,0.992324628,C>D,NA,NA,NA,99,1
T1 43,31.38,0.070710678,30.72,0.212132034,CD,0.143643875,0.125601927,0.874398073,C>D,NA,NA,NA,87,13
T1 45,39.155,1.831406563,28.685,0.558614357,CD,128.9410996,0.992304205,0.007695795,D>C,c*,c*,NA,0,100
T1 50,39.595,1.71,32.8475,3.022144658,CD,9.768035079,0.907132546,0.092867454,D>C,cd*,c*,NA,9,91
T1 55,39.815,0.898025612,28.12,0.141421356,CD,301.4068472,0.996693197,0.003306803,D>C,NA,c*,NA,0,100
